URL,Name,Year,Time,Rating,Genre,Director,Stars
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Shazam!,2019,132 min,PG-13,"Action, Adventure, Comedy",David F. Sandberg,"Zachary Levi,Mark Strong,Asher Angel,Jack Dylan Grazer"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Avengers: Endgame,2019,181 min,PG-13,"Action, Adventure, Fantasy",Anthony Russo,"Brie Larson,Robert Downey Jr.,Karen Gillan,Tessa Thompson"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Captain Marvel,2019,123 min,PG-13,"Action, Adventure, Sci-Fi",Anna Boden,"Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Jude Law"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Terminator: Dark Fate,2019,,,"Action, Adventure, Sci-Fi",Tim Miller,"Mackenzie Davis,Arnold Schwarzenegger,Linda Hamilton,Brett Azar"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Aquaman,2018,143 min,PG-13,"Action, Adventure, Fantasy",James Wan,"Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Hellboy,2019,120 min,R,"Action, Adventure, Fantasy",Neil Marshall,"David Harbour,Milla Jovovich,Ian McShane,Sasha Lane"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Spider-Man: Into the Spider-Verse,2018,117 min,PG,"Animation, Action, Adventure",Bob Persichetti,"Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Avengers: Infinity War,2018,149 min,PG-13,"Action, Adventure, Sci-Fi",Anthony Russo,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Triple Frontier,2019,125 min,R,"Action, Adventure, Crime",J.C. Chandor,"Ben Affleck,Oscar Isaac,Charlie Hunnam,Garrett Hedlund"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Bumblebee,2018,114 min,PG-13,"Action, Adventure, Sci-Fi",Travis Knight,"Hailee Steinfeld,Jorge Lendeborg Jr.,John Cena,Jason Drucker"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",How to Train Your Dragon: The Hidden World,2019,104 min,PG,"Animation, Action, Adventure",Dean DeBlois,"Jay Baruchel,America Ferrera,F. Murray Abraham,Cate Blanchett"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Escape Room,2019,99 min,PG-13,"Action, Adventure, Drama",Adam Robitel,"Taylor Russell,Logan Miller,Jay Ellis,Tyler Labine"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Dragged Across Concrete,2018,159 min,R,"Action, Crime, Drama",S. Craig Zahler,"Mel Gibson,Vince Vaughn,Tory Kittles,Michael Jai White"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Spider-Man: Far from Home,2019,,,"Action, Adventure, Comedy",Jon Watts,"Cobie Smulders,Zendaya,Tom Holland,Samuel L. Jackson"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Venom,2018,112 min,PG-13,"Action, Sci-Fi, Thriller",Ruben Fleischer,"Tom Hardy,Michelle Williams,Riz Ahmed,Scott Haze"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Hanna,2011,111 min,PG-13,"Action, Drama, Thriller",Joe Wright,"Saoirse Ronan,Cate Blanchett,Eric Bana,Vicky Krieps"
