URL,Name,Stars,Year,Time,Rating,Genre,Director
https://www.rottentomatoes.com/m/the_night_comes_for_us,the night comes for us,"Joe Taslim,Iko Uwais,Julie Estelle,Sunny Pang,Zack Lee","Oct 19, 2018",121 minutes,NR,"Action & Adventure,Mystery & Suspense",Timo Tjahjanto
https://www.rottentomatoes.com/m/mowgli_legend_of_the_jungle,mowgli legend of the jungle,"Rohan Chand,Andy Serkis,Cate Blanchett,Benedict Cumberbatch,Christian Bale,Naomie Harris,Jack Reynor,Peter Mullan,Eddie Marsan,Tom Hollander,Matthew Rhys,Freida Pinto","Nov 29, 2018",104 minutes,"PG-13 (for intense sequences of action violence including bloody images, and some thematic elements)","Action & Adventure,Animation,Drama",Andy Serkis
https://www.rottentomatoes.com/m/equalizer_2,equalizer 2,"Denzel Washington,Pedro Pascal,Ashton Sanders,Bill Pullman,Melissa Leo,Jonathan Scarfe,Sakina Jaffrey,Caroline Day,Orson Bean,Abigail Marlowe","Jul 20, 2018",129 minutes,"R (for brutal violence throughout, language, and some drug content)","Action & Adventure,Mystery & Suspense",Antoine Fuqua
https://www.rottentomatoes.com/m/patient_zero_2016,patient zero 2016,"Matt Smith (XI),Natalie Dormer,Stanley Tucci,Clive Standen,John Bradley","Sep 14, 2018",,"R (for bloody violence, language, and some sexual content)","Action & Adventure,Drama,Horror",Stefan Ruzowitzky
https://www.rottentomatoes.com/m/incredibles_2,incredibles 2,"Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner,Catherine Keener,Bob Odenkirk,Samuel L. Jackson,Sophia Bush,Isabella Rossellini,Jonathan Banks","Jun 15, 2018",118 minutes,PG (for action sequences and some brief mild language),"Action & Adventure,Animation,Kids & Family",Brad Bird
https://www.rottentomatoes.com/m/mile_22,mile 22,"Mark Wahlberg,Lauren Cohan,Iko Uwais,Ronda Rousey,Terry Kinney,John Malkovich,Emily Skeggs,Poorna Jagannathan,Chae Rin Lee,Sam Medina,Carlo Alban,Natasha Goubskaya,Keith Arthur Bolden,Jenique Hendrix,Billy Smith,Myke Holmes,Brandon Scales,Peter Berg,Elle Graham,Nikolai Nikolaeff,Ariel Felix,Tom Astor,Kate Rigg,Lourdes Perea,Tatiana Ronderos,David Garelik,Alla Greene,Vince Canlas,Sean Avery,Mark Freeman Schotz,Scott Kasson,Anthony Ace Thomas,Tory Bryant,Rafael Alfredo Caviedes Silva,Juan Carlos Henao Jimenez,Guillermo Ramirez Navia,Dale Zaboroskie,Dwayne A. Dorsey,Esteban Santos,Amanda Cabigting,Cedric Gervais,Trevor Gretzky,Richard Lee Rutherford,Breeanna N. Jackson,Artem Lyashenko,Tetyana Nickell,Vailana Antonucci,Stuart M. Besser,Ricardo Martínez,Juan Carlos Ortega,Isabella Garcia,Alexandra Vino","Aug 17, 2018",90 minutes,R (strong violence and language throughout),Action & Adventure,Peter Berg
https://www.rottentomatoes.com/m/mission_impossible_fallout,mission impossible fallout,"Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,Rebecca Ferguson,Sean Harris,Angela Bassett,Vanessa Kirby,Wes Bentley,Frederick Schmidt,Michelle Monaghan,Alec Baldwin,Yang Feng Liang,Kristoffer Joner,Wolf Blitzer,Raphael Joner,Andrew Cazanave Pin,Christophe deChoisy,Raphael Desprez,Jean Baptiste Fillon,Max Geller,Olivier Huband,Vincent Latorre,Thierry Picaut,Alexandre Poole,Guy Remy,Anne Alix,Joey Ansah,Velibor Topic,Dean Ashton,Dj Harvey,Grahame Fox,Charlie Archer,Caspar Phillipson,Lolly Adefope,Ffion Jolly,Russ Bain,Nigel Allen,Tracey Saunders,Alicia Mencia Castano","Jul 27, 2018",147 minutes,"PG-13 (for violence and intense sequences of action, and for brief strong language)","Action & Adventure,Drama,Mystery & Suspense",Christopher McQuarrie
https://www.rottentomatoes.com/m/the_predator,the predator,"Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Keegan-Michael Key,Olivia Munn,Sterling K. Brown,Alfie Allen,Thomas Jane,Augusto Aguilera,Jake Busey,Yvonne Strahovski","Sep 14, 2018",,"R (for strong bloody violence, language throughout, and crude sexual references)","Action & Adventure,Horror,Science Fiction & Fantasy",Shane Black
https://www.rottentomatoes.com/m/the_meg,the meg,"Jason Statham,Bingbing Li,Winston Chao,Rainn Wilson,Ruby Rose,Page Kennedy,Jessica McNamee,Olafur Darri Olafsson,Robert Taylor (VII),Cliff Curtis,Sophia Shuya Cai,Masi Oka,Tawanda Manyimo","Aug 10, 2018",114 minutes,"PG-13 (for action/peril, bloody images and some language)","Action & Adventure,Horror,Science Fiction & Fantasy",Jon Turteltaub
https://www.rottentomatoes.com/m/the_happytime_murders_2017,the happytime murders 2017,"Melissa McCarthy,Maya Rudolph,Joel McHale,Elizabeth Banks,Jimmy O. Yang,Leslie David Baker","Aug 24, 2018",,"R (for strong crude and sexual content and language throughout, and some drug material)","Action & Adventure,Comedy",Brian Henson
