_id,id,Name,Year,Time,Rating,Director,Stars,Up_System
0,1,the night comes for us,19-Oct-18,121 minutes,NR,Timo Tjahjanto,"Joe Taslim,Iko Uwais,Julie Estelle,Sunny Pang,Zack Lee",CM
1,2,mowgli legend of the jungle,29-Nov-18,104 minutes,"PG-13 (for intense sequences of action violence including bloody images, and some thematic elements)",Andy Serkis,"Rohan Chand,Andy Serkis,Cate Blanchett,Benedict Cumberbatch,Christian Bale,Naomie Harris,Jack Reynor,Peter Mullan,Eddie Marsan,Tom Hollander,Matthew Rhys,Freida Pinto",CM
2,3,equalizer 2,20-Jul-18,129 minutes,"R (for brutal violence throughout, language, and some drug content)",Antoine Fuqua,"Denzel Washington,Pedro Pascal,Ashton Sanders,Bill Pullman,Melissa Leo,Jonathan Scarfe,Sakina Jaffrey,Caroline Day,Orson Bean,Abigail Marlowe",CM
3,4,patient zero 2016,14-Sep-18,,"R (for bloody violence, language, and some sexual content)",Stefan Ruzowitzky,"Matt Smith (XI),Natalie Dormer,Stanley Tucci,Clive Standen,John Bradley",CM
4,5,incredibles 2,15-Jun-18,118 minutes,PG (for action sequences and some brief mild language),Brad Bird,"Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner,Catherine Keener,Bob Odenkirk,Samuel L. Jackson,Sophia Bush,Isabella Rossellini,Jonathan Banks",CM
5,6,mile 22,17-Aug-18,90 minutes,R (strong violence and language throughout),Peter Berg,"Mark Wahlberg,Lauren Cohan,Iko Uwais,Ronda Rousey,Terry Kinney,John Malkovich,Emily Skeggs,Poorna Jagannathan,Chae Rin Lee,Sam Medina,Carlo Alban,Natasha Goubskaya,Keith Arthur Bolden,Jenique Hendrix,Billy Smith,Myke Holmes,Brandon Scales,Peter Berg,Elle Graham,Nikolai Nikolaeff,Ariel Felix,Tom Astor,Kate Rigg,Lourdes Perea,Tatiana Ronderos,David Garelik,Alla Greene,Vince Canlas,Sean Avery,Mark Freeman Schotz,Scott Kasson,Anthony Ace Thomas,Tory Bryant,Rafael Alfredo Caviedes Silva,Juan Carlos Henao Jimenez,Guillermo Ramirez Navia,Dale Zaboroskie,Dwayne A. Dorsey,Esteban Santos,Amanda Cabigting,Cedric Gervais,Trevor Gretzky,Richard Lee Rutherford,Breeanna N. Jackson,Artem Lyashenko,Tetyana Nickell,Vailana Antonucci,Stuart M. Besser,Ricardo Martnez,Juan Carlos Ortega,Isabella Garcia,Alexandra Vino",CM
6,7,mission impossible fallout,27-Jul-18,147 minutes,"PG-13 (for violence and intense sequences of action, and for brief strong language)",Christopher McQuarrie,"Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,Rebecca Ferguson,Sean Harris,Angela Bassett,Vanessa Kirby,Wes Bentley,Frederick Schmidt,Michelle Monaghan,Alec Baldwin,Yang Feng Liang,Kristoffer Joner,Wolf Blitzer,Raphael Joner,Andrew Cazanave Pin,Christophe deChoisy,Raphael Desprez,Jean Baptiste Fillon,Max Geller,Olivier Huband,Vincent Latorre,Thierry Picaut,Alexandre Poole,Guy Remy,Anne Alix,Joey Ansah,Velibor Topic,Dean Ashton,Dj Harvey,Grahame Fox,Charlie Archer,Caspar Phillipson,Lolly Adefope,Ffion Jolly,Russ Bain,Nigel Allen,Tracey Saunders,Alicia Mencia Castano",CM
7,8,the predator,14-Sep-18,,"R (for strong bloody violence, language throughout, and crude sexual references)",Shane Black,"Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Keegan-Michael Key,Olivia Munn,Sterling K. Brown,Alfie Allen,Thomas Jane,Augusto Aguilera,Jake Busey,Yvonne Strahovski",CM
8,9,the meg,10-Aug-18,114 minutes,"PG-13 (for action/peril, bloody images and some language)",Jon Turteltaub,"Jason Statham,Bingbing Li,Winston Chao,Rainn Wilson,Ruby Rose,Page Kennedy,Jessica McNamee,Olafur Darri Olafsson,Robert Taylor (VII),Cliff Curtis,Sophia Shuya Cai,Masi Oka,Tawanda Manyimo",CM
9,10,the happytime murders 2017,24-Aug-18,,"R (for strong crude and sexual content and language throughout, and some drug material)",Brian Henson,"Melissa McCarthy,Maya Rudolph,Joel McHale,Elizabeth Banks,Jimmy O. Yang,Leslie David Baker",CM
