_id,id,Name,Year,Time,Rating,Director,Stars,Up_System
0,1,Shazam!,2019.0,132 min,PG-13,David F. Sandberg,"Zachary Levi,Mark Strong,Asher Angel,Jack Dylan Grazer",CM
1,2,Avengers: Endgame,2019.0,181 min,PG-13,Anthony Russo,"Brie Larson,Robert Downey Jr.,Karen Gillan,Tessa Thompson",CM
2,3,Captain Marvel,2019.0,123 min,PG-13,Anna Boden,"Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Jude Law",CM
3,4,Terminator: Dark Fate,2019.0,,,Tim Miller,"Mackenzie Davis,Arnold Schwarzenegger,Linda Hamilton,Brett Azar",CM
4,5,Aquaman,2018.0,143 min,PG-13,James Wan,"Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson",CM
5,6,Hellboy,2019.0,120 min,R,Neil Marshall,"David Harbour,Milla Jovovich,Ian McShane,Sasha Lane",CM
6,7,Spider-Man: Into the Spider-Verse,2018.0,117 min,PG,Bob Persichetti,"Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali",CM
7,8,Avengers: Infinity War,2018.0,149 min,PG-13,Anthony Russo,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans",CM
8,9,Triple Frontier,2019.0,125 min,R,J.C. Chandor,"Ben Affleck,Oscar Isaac,Charlie Hunnam,Garrett Hedlund",CM
9,10,Bumblebee,2018.0,114 min,PG-13,Travis Knight,"Hailee Steinfeld,Jorge Lendeborg Jr.,John Cena,Jason Drucker",CM
10,11,How to Train Your Dragon: The Hidden World,2019.0,104 min,PG,Dean DeBlois,"Jay Baruchel,America Ferrera,F. Murray Abraham,Cate Blanchett",CM
11,12,Escape Room,2019.0,99 min,PG-13,Adam Robitel,"Taylor Russell,Logan Miller,Jay Ellis,Tyler Labine",CM
12,13,Dragged Across Concrete,2018.0,159 min,R,S. Craig Zahler,"Mel Gibson,Vince Vaughn,Tory Kittles,Michael Jai White",CM
13,14,Spider-Man: Far from Home,2019.0,,,Jon Watts,"Cobie Smulders,Zendaya,Tom Holland,Samuel L. Jackson",CM
14,15,Venom,2018.0,112 min,PG-13,Ruben Fleischer,"Tom Hardy,Michelle Williams,Riz Ahmed,Scott Haze",CM
15,16,Hanna,2011.0,111 min,PG-13,Joe Wright,"Saoirse Ronan,Cate Blanchett,Eric Bana,Vicky Krieps",CM
16,17,Alita: Battle Angel,2019.0,122 min,PG-13,Robert Rodriguez,"Rosa Salazar,Christoph Waltz,Jennifer Connelly,Mahershala Ali",CM
17,18,Thor: Ragnarok,2017.0,130 min,PG-13,Taika Waititi,"Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo",CM
18,19,Mortal Engines,2018.0,128 min,PG-13,Christian Rivers,"Hera Hilmar,Robert Sheehan,Hugo Weaving,Jihae",CM
19,20,Dark Phoenix,2019.0,,,Simon Kinberg,"Sophie Turner,Jennifer Lawrence,Michael Fassbender,James McAvoy",CM
20,21,Godzilla: King of the Monsters,2019.0,,PG-13,Michael Dougherty,"Millie Bobby Brown,Vera Farmiga,Charles Dance,Bradley Whitford",CM
21,22,Black Panther,2018.0,134 min,PG-13,Ryan Coogler,"Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira",CM
22,23,Suicide Squad,2016.0,123 min,PG-13,David Ayer,"Will Smith,Jared Leto,Margot Robbie,Viola Davis",CM
23,24,Deadpool 2,2018.0,119 min,R,David Leitch,"Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison",CM
24,25,Triple Threat,2019.0,96 min,R,Jesse V. Johnson,"Tony Jaa,Tiger Hu Chen,Iko Uwais,Scott Adkins",CM
25,26,Guardians of the Galaxy,2014.0,121 min,PG-13,James Gunn,"Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana",CM
26,27,Sonic the Hedgehog,2019.0,,,Jeff Fowler,"Jim Carrey,James Marsden,Neal McDonough,Ben Schwartz",CM
27,28,John Wick: Chapter 3 - Parabellum,2019.0,130 min,,Chad Stahelski,"Keanu Reeves,Ian McShane,Asia Kate Dillon,Jerome Flynn",CM
28,29,The Meg,2018.0,113 min,PG-13,Jon Turteltaub,"Jason Statham,Bingbing Li,Rainn Wilson,Cliff Curtis",CM
29,30,Rambo V: Last Blood,2019.0,,,Adrian Grunberg,"Sylvester Stallone,Paz Vega,Louis Mandylor,Joaqun Cosio",CM
30,31,Destroyer,2018.0,121 min,R,Karyn Kusama,"Nicole Kidman,Toby Kebbell,Tatiana Maslany,Sebastian Stan",CM
31,32,The Dark Knight,2008.0,152 min,PG-13,Christopher Nolan,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine",CM
32,33,Zombieland: Double Tap,2019.0,,,Ruben Fleischer,"Woody Harrelson,Emma Stone,Zoey Deutch,Bill Murray",CM
33,34,Spider-Man: Homecoming,2017.0,133 min,PG-13,Jon Watts,"Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei",CM
34,35,Guardians of the Galaxy Vol. 2,2017.0,136 min,PG-13,James Gunn,"Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel",CM
35,36,Justice League,2017.0,120 min,PG-13,Zack Snyder,"Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller",CM
36,37,Robin Hood,2018.0,116 min,PG-13,Otto Bathurst,"Taron Egerton,Jamie Foxx,Ben Mendelsohn,Eve Hewson",CM
37,38,The Matrix,1999.0,136 min,R,Lana Wachowski,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving",CM
38,39,The Avengers,2012.0,143 min,PG-13,Joss Whedon,"Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner",CM
39,40,Pokmon Detective Pikachu,2019.0,104 min,PG,Rob Letterman,"Ryan Reynolds,Kathryn Newton,Suki Waterhouse,Rob Delaney",CM
40,41,Thor: The Dark World,2013.0,112 min,PG-13,Alan Taylor,"Chris Hemsworth,Natalie Portman,Tom Hiddleston,Stellan Skarsgrd",CM
41,42,Jurassic World: Fallen Kingdom,2018.0,128 min,PG-13,J.A. Bayona,"Chris Pratt,Bryce Dallas Howard,Rafe Spall,Justice Smith",CM
42,43,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),2020.0,,,Cathy Yan,"Margot Robbie,Mary Elizabeth Winstead,Ewan McGregor,Jurnee Smollett-Bell",CM
43,44,Avengers: Age of Ultron,2015.0,141 min,PG-13,Joss Whedon,"Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth",CM
44,45,Star Wars: The Rise of Skywalker,2019.0,,,J.J. Abrams,"Lupita Nyong'o,Mark Hamill,Oscar Isaac,Adam Driver",CM
45,46,Ant-Man and the Wasp,2018.0,118 min,PG-13,Peyton Reed,"Paul Rudd,Evangeline Lilly,Michael Pea,Walton Goggins",CM
46,47,Captain America: The First Avenger,2011.0,124 min,PG-13,Joe Johnston,"Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell",CM
47,48,Overlord,2018.0,110 min,R,Julius Avery,"Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Pilou Asbk",CM
48,49,Polar,2019.0,118 min,TV-MA,Jonas kerlund,"Mads Mikkelsen,Vanessa Hudgens,Katheryn Winnick,Fei Ren",CM
49,50,Ready Player One,2018.0,140 min,PG-13,Steven Spielberg,"Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Lena Waithe",CM
50,51,Skyscraper,2018.0,102 min,PG-13,Rawson Marshall Thurber,"Dwayne Johnson,Neve Campbell,Chin Han,Roland Mller",CM
51,52,Baywatch,2017.0,116 min,R,Seth Gordon,"Dwayne Johnson,Zac Efron,Alexandra Daddario,Priyanka Chopra",CM
52,53,Men in Black: International,2019.0,,,F. Gary Gray,"Tessa Thompson,Chris Hemsworth,Rebecca Ferguson,Liam Neeson",CM
53,54,Hellboy,2004.0,122 min,PG-13,Guillermo del Toro,"Ron Perlman,Doug Jones,Selma Blair,John Hurt",CM
54,55,The Kid Who Would Be King,2019.0,120 min,PG,Joe Cornish,"Louis Ashbourne Serkis,Denise Gough,Dean Chaumoo,Tom Taylor",CM
55,56,Iron Man,2008.0,126 min,PG-13,Jon Favreau,"Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges",CM
56,57,Bonnie and Clyde,1967.0,111 min,R,Arthur Penn,"Warren Beatty,Faye Dunaway,Michael J. Pollard,Gene Hackman",CM
57,58,Gladiator,2000.0,155 min,R,Ridley Scott,"Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed",CM
58,59,Solo: A Star Wars Story,2018.0,135 min,PG-13,Ron Howard,"Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Donald Glover",CM
59,60,Wonder Woman,2017.0,141 min,PG-13,Patty Jenkins,"Gal Gadot,Chris Pine,Robin Wright,Lucy Davis",CM
60,61,Inception,2010.0,148 min,PG-13,Christopher Nolan,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Ken Watanabe",CM
61,62,The Incredible Hulk,2008.0,112 min,PG-13,Louis Leterrier,"Edward Norton,Liv Tyler,Tim Roth,William Hurt",CM
62,63,Captain America: Civil War,2016.0,147 min,PG-13,Anthony Russo,"Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan",CM
63,64,Mission: Impossible - Fallout,2018.0,147 min,PG-13,Christopher McQuarrie,"Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg",CM
64,65,The Lego Movie 2: The Second Part,2019.0,107 min,PG,Mike Mitchell,"Chris Pratt,Elizabeth Banks,Will Arnett,Tiffany Haddish",CM
65,66,Fast & Furious Presents: Hobbs & Shaw,2019.0,,,David Leitch,"Dwayne Johnson,Idris Elba,Jason Statham,Eiza Gonzlez",CM
66,67,Incredibles 2,2018.0,118 min,PG,Brad Bird,"Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner",CM
67,68,Thor,2011.0,115 min,PG-13,Kenneth Branagh,"Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston",CM
68,69,Captain America: The Winter Soldier,2014.0,136 min,PG-13,Anthony Russo,"Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford",CM
69,70,Mad Max: Fury Road,2015.0,120 min,R,George Miller,"Tom Hardy,Charlize Theron,Nicholas Hoult,Zo Kravitz",CM
70,71,Ocean's 8,2018.0,110 min,PG-13,Gary Ross,"Sandra Bullock,Cate Blanchett,Anne Hathaway,Mindy Kaling",CM
71,72,The New Mutants,2019.0,,,Josh Boone,"Anya Taylor-Joy,Maisie Williams,Antonio Banderas,Alice Braga",CM
